thumbnail_link,video_link,video_title,views,date_time,video_duration
https://i.ytimg.com/vi/EtZIUwvjzjI/hqdefault.jpg,https://www.youtube.com/watch?v=EtZIUwvjzjI,"Is HTML, CSS and Javascript Enough? | Everything About Web Development Ft. Prakash Sakari",2.7K views,9 months ago,3 minutes
https://i.ytimg.com/vi/s09kmxXbPOg/hqdefault.jpg,https://www.youtube.com/watch?v=s09kmxXbPOg,Web Developers vs Website Builders | Everything About Web Development Ft. Prakash Sakari,1.8K views,9 months ago,"3 minutes, 28 seconds"
https://i.ytimg.com/vi/B40zC1_sJiE/hqdefault.jpg,https://www.youtube.com/watch?v=B40zC1_sJiE,Future of Web Development | Everything About Web Development Ft. Prakash Sakari | GeeksforGeeks,4.2K views,9 months ago,"3 minutes, 1 second"
https://i.ytimg.com/vi/6ktny7tGepA/hqdefault.jpg,https://www.youtube.com/watch?v=6ktny7tGepA,Web 3.0 Explained! Web 1.0 vs Web 2.0 vs Web3.0| Everything About Web Development Ft. Prakash Sakari,3.7K views,9 months ago,"5 minutes, 10 seconds"
https://i.ytimg.com/vi/fYlESZ6SaCA/hqdefault.jpg,https://www.youtube.com/watch?v=fYlESZ6SaCA,Job or Higher Studies? The BEST Choice After Graduation! Ft. Avinash Kumar | GeeksforGeeks,3.7K views,9 months ago,"12 minutes, 21 seconds"
,https://www.youtube.com/watch?v=m7mnwQKgpzw,Capture Your Dream Job with Job-A-Thon | Monthly Hiring Challenges by GeeksforGeeks,2.9K views,9 months ago,51 seconds
,https://www.youtube.com/watch?v=eKzxoEG981g,Walmart Interview Experience 2022 | Walmart Interview Questions | GeeksforGeeks,8.8K views,9 months ago,"21 minutes, 35 seconds"
,https://www.youtube.com/watch?v=Dg4coPjDc6M,How A Medical Aspirant Cracked FAANG? | Amazon Interview Experience | GeeksforGeeks,3K views,10 months ago,"11 minutes, 21 seconds"
,https://www.youtube.com/watch?v=V6J24JJGhXc,Refer And Earn | Referral Program By GeeksforGeeks,2.1K views,10 months ago,"1 minute, 14 seconds"
,https://www.youtube.com/watch?v=npPgivbw-9U,A++ Advice To Get Your Dream Job | GeeksforGeeks ft. @thegeekmonk1707,4.6K views,10 months ago,49 seconds
,https://www.youtube.com/watch?v=uDP13fwrhwI,Dream Company Ka Sapna Ab Hoga Poora | GeeksforGeeks ft. @shashank_mishra,5.5K views,10 months ago,43 seconds
